Position;PositionIdx;Indices;Frame;Idx;Time;SNR;Nucleoid_size;NucleoidLength;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;ObjectCount
Im001;0;2-20-0;2;0;4.00000;10.00112;1.20024;2.12220;1.52609;9.90971e-02;2.72227;0.83474;0
Im001;0;2-21-0;2;0;4.00000;6.57672;0.12574;0.38549;0.35646;-0.10001;3.52000;0.79213;0
Im001;0;2-21-1;2;1;4.00000;9.31645;1.15451;1.67007;2.12917;-1.22101e-02;3.52000;0.89570;0
Im001;0;2-22-0;2;0;4.00000;9.80721;1.80607;3.07834;1.92083;-4.37399e-02;3.86316;0.86993;0
Im001;0;2-23-0;2;0;4.00000;6.06066;0.86874;1.76329;1.09730;-4.22186e-03;2.29670;0.86367;0
Im001;0;2-24-0;2;0;4.00000;5.89246;0.83445;1.30506;0.94954;-2.14365e-03;3.72770;0.86721;0
Im001;0;2-24-1;2;1;4.00000;5.51443;0.83445;1.48531;2.87540;4.30540e-02;3.72770;0.90532;0
Im001;0;2-25-0;2;0;4.00000;7.36403;0.85731;1.50062;2.54455;-2.39081e-02;3.57435;0.91197;0
Im001;0;2-25-1;2;1;4.00000;6.08945;0.56011;1.19535;0.72070;-4.38095e-02;3.57435;0.84453;0
Im001;0;2-26-0;2;0;4.00000;7.49661;0.40008;0.75600;0.38002;8.78070e-02;2.54656;0.77869;0
Im001;0;2-26-1;2;1;4.00000;5.38219;0.26291;0.91972;1.95643;2.59387e-03;2.54656;0.77214;0
Im001;0;2-27-0;2;0;4.00000;6.58338;0.57154;1.00863;0.79131;-0.11100;3.28425;0.84626;0
Im001;0;2-27-1;2;1;4.00000;5.53156;0.67442;1.15151;2.31776;-3.84254e-02;3.28425;0.92249;0
Im001;0;2-28-0;2;0;4.00000;9.48187;1.02877;1.86719;1.49531;2.13864e-02;2.71760;0.87267;0
Im001;0;2-29-0;2;0;4.00000;8.94530;1.26882;2.44272;1.42565;9.82172e-03;2.86953;0.93182;0
Im001;0;2-30-0;2;0;4.00000;7.85778;1.32597;2.28808;1.79967;-1.45657e-02;3.04415;0.81762;0
Im001;0;2-31-0;2;0;4.00000;7.71718;1.37170;2.53458;1.48659;-6.26717e-02;3.10154;0.89337;0
Im001;0;2-32-0;2;0;4.00000;15.39177;0.65156;1.15151;0.92839;3.91889e-02;1.76602;0.91063;0
Im001;0;2-33-0;2;0;4.00000;13.00962;0.93733;1.67007;1.30516;-6.52419e-02;2.08669;0.81691;0
Im001;0;2-34-0;2;0;4.00000;7.57278;0.73157;1.25141;0.95287;2.81028e-02;1.98301;0.88205;0
Im001;0;2-35-0;2;0;4.00000;9.54175;0.92590;1.57858;0.66506;-4.08759e-02;2.14804;0.83528;0
Im001;0;3-0-0;3;0;6.00000;11.52383;1.34884;2.43804;1.41272;0.16847;2.85215;0.84203;0
Im001;0;3-1-0;3;0;6.00000;7.37181;0.96019;1.60372;1.39557;3.92293e-02;2.41247;0.93188;0
Im001;0;3-2-0;3;0;6.00000;7.09911;0.89160;1.48531;1.00122;-8.51929e-02;4.19232;0.81930;0
Im001;0;3-2-1;3;1;6.00000;7.37066;0.83445;1.33964;3.06032;-0.11513;4.19232;0.85133;0
Im001;0;3-3-0;3;0;6.00000;4.30667;0.86874;1.83009;0.87154;3.70517e-02;2.12923;1.03016;0
Im001;0;3-4-0;3;0;6.00000;5.28208;0.65156;1.32247;1.08150;5.88270e-02;4.10805;0.91323;0
Im001;0;3-4-1;3;1;6.00000;5.72512;0.94876;1.39400;2.96887;7.25886e-02;4.10805;0.89059;0
Im001;0;3-5-0;3;0;6.00000;20.96720;0.85731;1.45420;1.03293;-6.32969e-02;1.95882;0.87591;0
